step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,18012816.0,,0.0,0.0,4295.665900902578,0.0,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8269.85742219987,0.0,4134.928711099937
2.0,0.0,0.0,18012816.0,,0.0,0.0,4295.665900902578,0.0,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8269.85742219987,0.0,4134.928711099937
3.0,0.0,0.0,18012816.0,,0.0,0.0,4295.665900902578,0.0,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8269.85742219987,0.0,4134.928711099937
4.0,0.0,0.0,18012816.0,,0.0,0.0,4295.665900902578,0.0,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8269.85742219987,0.0,4134.928711099937
5.0,0.0,0.0,18012816.0,,0.0,0.22874101637757216,4295.894641918955,0.22874101637757216,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8270.086163216247,0.11437050818878608,4135.043081608125
6.0,0.0,0.0,18012816.0,,0.0,1.025,4296.919641918955,1.025,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8271.111163216246,0.5125,4135.555581608125
7.0,0.0,0.0,18012816.0,,0.0,0.0,4296.919641918955,0.0,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8271.111163216246,0.0,4135.555581608125
8.0,0.0,0.0,18012816.0,,0.0,0.0,4296.919641918955,0.0,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8271.111163216246,0.0,4135.555581608125
9.0,0.0,0.0,18012816.0,,0.0,0.0,4296.919641918955,0.0,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8271.111163216246,0.0,4135.555581608125
10.0,0.0,0.0,18012816.0,,0.0,1.316821416655389,4298.23646333561,1.316821416655389,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8272.427984632901,0.6584107083276945,4136.213992316453
11.0,0.0,0.0,18012816.0,,0.0,0.0,4298.23646333561,0.0,0.0,0.0,3974.1915212972913,-1.5543122344752192e-15,0.0,819.3763788123487,8272.427984632901,0.0,4136.213992316453
12.0,0.0,0.0,18012816.0,,0.0,0.0,4298.23646333561,0.0,0.0,-0.051233392330024045,3974.140287904961,-0.0512333923300256,0.0,819.4276122046787,8272.376751240572,-0.025616696165012023,4136.188375620288
13.0,0.0,0.0,18012816.0,,0.0,0.0,4298.23646333561,0.0,0.0,0.0,3974.140287904961,-1.5543122344752192e-15,0.0,819.4276122046787,8272.376751240572,0.0,4136.188375620288
14.0,0.0,0.0,18012816.0,,0.0,0.0,4298.23646333561,0.0,0.0,0.0,3974.140287904961,-1.5543122344752192e-15,0.0,819.4276122046787,8272.376751240572,0.0,4136.188375620288
15.0,0.0,0.0,18012816.0,,0.0,0.0,4298.23646333561,0.0,0.0,0.0,3974.140287904961,-1.5543122344752192e-15,0.0,819.4276122046787,8272.376751240572,0.0,4136.188375620288
16.0,0.0,0.0,18012816.0,,0.0,0.0,4298.23646333561,0.0,0.0,1.3242057104874558,3975.4644936154486,1.3242057104874543,0.0,819.4276122046787,8273.70095695106,0.6621028552437279,4136.850478475531
17.0,0.0,0.0,18012816.0,,0.0,0.0,4298.23646333561,0.0,0.0,0.0,3975.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8273.70095695106,0.0,4136.850478475531
18.0,0.0,0.0,18012816.0,,0.0,2.0,4300.23646333561,2.0,0.0,0.0,3975.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8275.70095695106,1.0,4137.850478475531
19.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3975.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8275.70095695106,0.0,4137.850478475531
20.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3975.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8275.70095695106,0.0,4137.850478475531
21.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3975.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8275.70095695106,0.0,4137.850478475531
22.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3975.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8275.70095695106,0.0,4137.850478475531
23.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3975.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8275.70095695106,0.0,4137.850478475531
24.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,2.0,3977.4644936154486,1.9999999999999984,0.0,819.4276122046787,8277.70095695106,1.0,4138.850478475531
25.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8277.70095695106,0.0,4138.850478475531
26.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8277.70095695106,0.0,4138.850478475531
27.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8277.70095695106,0.0,4138.850478475531
28.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8277.70095695106,0.0,4138.850478475531
29.0,0.0,0.0,18012816.0,,0.0,0.0,4300.23646333561,0.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8277.70095695106,0.0,4138.850478475531
30.0,0.0,0.0,18012816.0,,0.0,2.0,4302.23646333561,2.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8279.70095695106,1.0,4139.850478475531
31.0,0.0,0.0,18012816.0,,0.0,0.0,4302.23646333561,0.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8279.70095695106,0.0,4139.850478475531
32.0,0.0,0.0,18012816.0,,0.0,0.0,4302.23646333561,0.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8279.70095695106,0.0,4139.850478475531
33.0,0.0,0.0,18012816.0,,0.0,2.0,4304.23646333561,2.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8281.70095695106,1.0,4140.850478475531
34.0,0.0,0.0,18012816.0,,0.0,0.0,4304.23646333561,0.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8281.70095695106,0.0,4140.850478475531
35.0,0.0,0.0,18012816.0,,0.0,0.0,4304.23646333561,0.0,0.0,0.0,3977.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8281.70095695106,0.0,4140.850478475531
36.0,0.0,0.0,18012816.0,,0.0,2.0,4306.23646333561,2.0,0.0,2.0,3979.4644936154486,1.9999999999999984,0.0,819.4276122046787,8285.70095695106,2.0,4142.850478475531
37.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3979.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8285.70095695106,0.0,4142.850478475531
38.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3979.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8285.70095695106,0.0,4142.850478475531
39.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,2.0,3981.4644936154486,1.9999999999999984,0.0,819.4276122046787,8287.70095695106,1.0,4143.850478475531
40.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3981.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8287.70095695106,0.0,4143.850478475531
41.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3981.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8287.70095695106,0.0,4143.850478475531
42.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,2.0,3983.4644936154486,1.9999999999999984,0.0,819.4276122046787,8289.70095695106,1.0,4144.850478475531
43.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
44.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
45.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
46.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
47.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
48.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
49.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
50.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
51.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
52.0,0.0,0.0,18012816.0,,0.0,0.0,4306.23646333561,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8289.70095695106,0.0,4144.850478475531
53.0,0.0,0.0,18012816.0,,0.0,1.1332879784373544,4307.369751314048,1.1332879784373544,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8290.834244929496,0.5666439892186772,4145.41712246475
54.0,0.0,0.0,18012816.0,,0.0,0.0,4307.369751314048,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8290.834244929496,0.0,4145.41712246475
55.0,0.0,0.0,18012816.0,,0.0,0.0,4307.369751314048,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8290.834244929496,0.0,4145.41712246475
56.0,0.0,0.0,18012816.0,,0.0,0.0,4307.369751314048,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8290.834244929496,0.0,4145.41712246475
57.0,0.0,0.0,18012816.0,,0.0,0.0,4307.369751314048,0.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8290.834244929496,0.0,4145.41712246475
58.0,0.0,0.0,18012816.0,,0.0,2.0,4309.369751314048,2.0,0.0,0.0,3983.4644936154486,-1.5543122344752192e-15,0.0,819.4276122046787,8292.834244929496,1.0,4146.41712246475
59.0,0.0,0.0,18012816.0,,0.0,0.0,4309.369751314048,0.0,0.0,1.1268293985244804,3984.591323013973,1.1268293985244788,0.0,819.4276122046787,8293.961074328021,0.5634146992622402,4146.980537164012
60.0,0.0,0.0,18012816.0,,0.0,0.0,4309.369751314048,0.0,0.0,0.0,3984.591323013973,-1.5543122344752192e-15,0.0,819.4276122046787,8293.961074328021,0.0,4146.980537164012
61.0,0.0,0.0,18012816.0,,0.0,1.075,4310.444751314048,1.075,0.0,0.0,3984.591323013973,-1.5543122344752192e-15,0.0,819.4276122046787,8295.036074328022,0.5375,4147.518037164013
62.0,0.0,0.0,18012816.0,,0.0,0.0,4310.444751314048,0.0,0.0,0.0,3984.591323013973,-1.5543122344752192e-15,0.0,819.4276122046787,8295.036074328022,0.0,4147.518037164013
63.0,0.0,0.0,18012816.0,,0.0,0.0,4310.444751314048,0.0,0.0,0.0,3984.591323013973,-1.5543122344752192e-15,0.0,819.4276122046787,8295.036074328022,0.0,4147.518037164013
64.0,0.0,0.0,18012816.0,,0.0,0.0,4310.444751314048,0.0,0.0,2.0,3986.591323013973,1.9999999999999984,0.0,819.4276122046787,8297.036074328022,1.0,4148.518037164013
