step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_average_speed,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_average_speed,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_stopped,3_accumulated_waiting_time,3_average_speed,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_stopped,4_accumulated_waiting_time,4_average_speed,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,2.0,2.0,0,0.0,1.0,2.0,2.0,2.0,0,0.0,1.0,2.0,2.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,6.0,1.5,1.5
3.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,1.5
4.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,1.5
5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,1.5
6.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,1.5
7.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,4.0,2.0,0,0.0,1.0,2.0,4.0,2.0,0,0.0,1.0,2.0,4.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,12.0,1.5,3.0
8.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,3.0
9.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,3.0
10.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,3.0
11.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,3.0
12.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,3.0
13.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,3.0
14.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,2.0,2.0,2.0,0,0.0,0.0,14.0,0.5,3.5
15.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,14.0,0.0,3.5
16.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,14.0,0.0,3.5
17.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,14.0,0.0,3.5
18.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,14.0,0.0,3.5
19.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,2.0,4.0,2.0,0,0.0,0.0,16.0,0.5,4.0
20.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,16.0,0.0,4.0
21.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,16.0,0.0,4.0
22.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,16.0,0.0,4.0
23.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,16.0,0.0,4.0
24.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,16.0,0.0,4.0
25.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,6.0,2.0,0,0.0,1.0,2.0,6.0,2.0,0,0.0,1.0,2.0,6.0,2.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,22.0,1.5,5.5
26.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,22.0,0.0,5.5
27.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,22.0,0.0,5.5
28.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,22.0,0.0,5.5
29.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,22.0,0.0,5.5
30.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,22.0,0.0,5.5
31.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,22.0,0.0,5.5
32.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,22.0,0.0,5.5
33.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,8.0,2.0,0,0.0,1.0,2.0,8.0,2.0,0,0.0,1.0,2.0,8.0,2.0,0,0.0,1.0,0.0,4.0,0.0,0,0.0,0.0,28.0,1.5,7.0
