step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_average_speed,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,10_stopped,10_accumulated_waiting_time,10_average_speed,10_reward,10_cumulative_rewards,10_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_average_speed,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_stopped,3_accumulated_waiting_time,3_average_speed,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_stopped,4_accumulated_waiting_time,4_average_speed,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,5_stopped,5_accumulated_waiting_time,5_average_speed,5_reward,5_cumulative_rewards,5_cumulative_diff_rewards,6_stopped,6_accumulated_waiting_time,6_average_speed,6_reward,6_cumulative_rewards,6_cumulative_diff_rewards,7_stopped,7_accumulated_waiting_time,7_average_speed,7_reward,7_cumulative_rewards,7_cumulative_diff_rewards,8_stopped,8_accumulated_waiting_time,8_average_speed,8_reward,8_cumulative_rewards,8_cumulative_diff_rewards,9_stopped,9_accumulated_waiting_time,9_average_speed,9_reward,9_cumulative_rewards,9_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,2.0,2.0,0,0.0,1.0,1.8017262046927824,1.8017262046927824,1.8017262046927824,0,0.0,1.0,1.8754023386164804,1.8754023386164804,1.8754023386164804,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,1.8248971829221232,1.8248971829221232,1.8248971829221232,0,0.0,1.0,2.0,2.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,1.8017262046927824,1.8017262046927824,1.8017262046927824,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,11.303751930924168,1.1303751930924169,1.1303751930924169
3.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,2.0,3.8754023386164804,2.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,13.303751930924168,0.2,1.3303751930924168
4.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,13.303751930924168,0.0,1.3303751930924168
5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,13.303751930924168,0.0,1.3303751930924168
6.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,1.830348818430792,1.830348818430792,1.830348818430792,0,0.0,0.0,15.13410074935496,0.1830348818430792,1.513410074935496
7.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,2.0,2.0,2.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,17.13410074935496,0.2,1.713410074935496
8.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,17.13410074935496,0.0,1.713410074935496
9.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,17.13410074935496,0.0,1.713410074935496
10.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,17.13410074935496,0.0,1.713410074935496
