episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/0/learner_stats/cur_kl_coeff,info/learner/0/learner_stats/cur_lr,info/learner/0/learner_stats/total_loss,info/learner/0/learner_stats/policy_loss,info/learner/0/learner_stats/vf_loss,info/learner/0/learner_stats/vf_explained_var,info/learner/0/learner_stats/kl,info/learner/0/learner_stats/entropy,info/learner/0/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,1,0,0,3999,3999,4000,4000,4000,4000,4000,4000,3999,False,0,1,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-54-37,1682733277,16.08417057991028,16.08417057991028,72240,gold54.cluster.local,10.13.39.109,16.08417057991028,0,1,124.55943942070007,4000,4000,3999,3999,nan,nan,nan,nan,0,0,[],[],16081.384,828.969,4825.274,3.245,4000,4000,3999,3999,69.1217391304348,9.034782608695652,[],[],0.20000000298023224,0.0010000000474974513,0.82271177,-0.011096174,0.833317,0.0028068833,0.0024545118,0.69083923,0.0
nan,nan,nan,nan,0,0,1,0,0,7999,7999,8000,8000,4000,4000,8000,4000,7999,False,0,2,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-54-54,1682733294,17.449019193649292,33.53318977355957,72240,gold54.cluster.local,10.13.39.109,33.53318977355957,0,2,124.55943942070007,8000,8000,7999,7999,nan,nan,nan,nan,0,0,[],[],16762.587,638.1,6268.612,3.103,8000,8000,7999,7999,68.7,9.032,[],[],0.10000000149011612,0.0010000000474974513,0.29610783,-0.007752179,0.30360955,0.035528548,0.0025041222,0.689351,0.0
-20.349302417636608,-20.349302417636608,-20.349302417636608,10000.0,1,0,1,0,0,11999,11999,12000,12000,4000,4000,12000,4000,11999,False,1,3,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-55-10,1682733310,15.477847337722778,49.01103711128235,72240,gold54.cluster.local,10.13.39.109,49.01103711128235,0,3,124.55943942070007,12000,12000,11999,11999,-20.349302417636608,-20.349302417636608,-20.349302417636608,10000.0,1,0,[-20.349302417636608],[10000],16332.333,580.697,6888.269,2.949,12000,12000,11999,11999,70.85454545454544,9.068181818181817,[-20.349302417636608],[10000],0.05000000074505806,0.0010000000474974513,1.5856149,-0.01401218,1.5984579,0.058948092,0.023384208,0.6568329,0.0
-20.349302417636608,-20.349302417636608,-20.349302417636608,10000.0,0,0,1,0,0,15999,15999,16000,16000,4000,4000,16000,4000,15999,False,1,4,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-55-22,1682733322,12.656561851501465,61.66759896278381,72240,gold54.cluster.local,10.13.39.109,61.66759896278381,0,4,124.55943942070007,16000,16000,15999,15999,-20.349302417636608,-20.349302417636608,-20.349302417636608,10000.0,0,0,[-20.349302417636608],[10000],15412.095,536.796,7451.624,2.778,16000,16000,15999,15999,73.76111111111112,9.105555555555554,[-20.349302417636608],[10000],0.07500000298023224,0.0010000000474974513,2.6698632,-0.0024974595,2.6718879,0.08236812,0.0063023632,0.62566245,0.0
1288.5082245881551,-20.349302417636608,634.0794610852593,10000.0,1,0,1,0,0,20000,20000,20000,20000,4000,4000,20000,4000,20000,False,2,5,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-55-37,1682733337,14.23448371887207,75.90208268165588,72240,gold54.cluster.local,10.13.39.109,75.90208268165588,0,5,124.55943942070007,20000,20000,20000,20000,1288.5082245881551,-20.349302417636608,634.0794610852593,10000.0,1,0,"[-20.349302417636608, 1288.5082245881551]","[10000, 10000]",15175.841,516.029,7751.501,2.797,20000,20000,20000,20000,75.52000000000001,9.099999999999998,"[-20.349302417636608, 1288.5082245881551]","[10000, 10000]",0.07500000298023224,0.0010000000474974513,3.1252642,-0.0017543815,3.126856,0.105361044,0.002166273,0.60841984,0.0
1288.5082245881551,-20.349302417636608,634.0794610852593,10000.0,0,0,1,0,0,23999,23999,24000,24000,4000,4000,24000,4000,23999,False,2,6,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-55-46,1682733346,9.589894771575928,85.49197745323181,72240,gold54.cluster.local,10.13.39.109,85.49197745323181,0,6,124.55943942070007,24000,24000,23999,23999,1288.5082245881551,-20.349302417636608,634.0794610852593,10000.0,0,0,"[-20.349302417636608, 1288.5082245881551]","[10000, 10000]",14243.986,501.884,7969.963,2.772,24000,24000,23999,23999,76.34285714285714,9.128571428571428,"[-20.349302417636608, 1288.5082245881551]","[10000, 10000]",0.03750000149011612,0.0010000000474974513,2.3007996,-0.0073382678,2.30752,0.08752255,0.016478937,0.64949405,0.0
1288.5082245881551,-20.349302417636608,634.0794610852593,10000.0,0,0,1,0,0,27999,27999,28000,28000,4000,4000,28000,4000,27999,False,2,7,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-55-58,1682733358,11.610288858413696,97.10226631164551,72240,gold54.cluster.local,10.13.39.109,97.10226631164551,0,7,124.55943942070007,28000,28000,27999,27999,1288.5082245881551,-20.349302417636608,634.0794610852593,10000.0,0,0,"[-20.349302417636608, 1288.5082245881551]","[10000, 10000]",13867.1,491.186,8143.549,2.682,28000,28000,27999,27999,75.19999999999999,9.094117647058823,"[-20.349302417636608, 1288.5082245881551]","[10000, 10000]",0.03750000149011612,0.0010000000474974513,2.1915565,-0.006915027,2.198012,0.039497368,0.012252672,0.5985813,0.0
1288.5082245881551,-20.349302417636608,772.7273381180518,10000.0,1,0,1,0,0,31999,31999,32000,32000,4000,4000,32000,4000,31999,False,3,8,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-56-11,1682733371,12.935367822647095,110.0376341342926,72240,gold54.cluster.local,10.13.39.109,110.0376341342926,0,8,124.55943942070007,32000,32000,31999,31999,1288.5082245881551,-20.349302417636608,772.7273381180518,10000.0,1,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637]","[10000, 10000, 10000]",13749.974,482.878,8283.665,2.657,32000,32000,31999,31999,76.23333333333333,9.094444444444443,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637]","[10000, 10000, 10000]",0.03750000149011612,0.0010000000474974513,2.3565357,-0.0029430836,2.3592362,0.08345541,0.006464342,0.5683322,0.0
1288.5082245881551,-20.349302417636608,772.7273381180518,10000.0,0,0,1,0,0,35999,35999,36000,36000,4000,4000,36000,4000,35999,False,3,9,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-56-21,1682733381,9.924391746520996,119.9620258808136,72240,gold54.cluster.local,10.13.39.109,119.9620258808136,0,9,124.55943942070007,36000,36000,35999,35999,1288.5082245881551,-20.349302417636608,772.7273381180518,10000.0,0,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637]","[10000, 10000, 10000]",13324.42,475.823,8406.483,2.605,36000,36000,35999,35999,75.33571428571429,9.107142857142856,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637]","[10000, 10000, 10000]",0.03750000149011612,0.0010000000474974513,2.0224197,-0.0015280813,2.023811,0.096536055,0.003645841,0.52091384,0.0
1315.7505402387976,-20.349302417636608,908.4831386482383,10000.0,1,0,1,0,0,40000,40000,40000,40000,4000,4000,40000,4000,40000,False,4,10,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-56-32,1682733392,10.648437261581421,130.61046314239502,72240,gold54.cluster.local,10.13.39.109,130.61046314239502,0,10,124.55943942070007,40000,40000,40000,40000,1315.7505402387976,-20.349302417636608,908.4831386482383,10000.0,1,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976]","[10000, 10000, 10000, 10000]",13056.322,470.85,8495.268,2.562,40000,40000,40000,40000,77.84666666666666,9.086666666666666,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976]","[10000, 10000, 10000, 10000]",0.01875000074505806,0.0010000000474974513,1.8360974,-0.002704684,1.8387226,0.09411329,0.004229469,0.5302522,0.0
