episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/0/learner_stats/cur_kl_coeff,info/learner/0/learner_stats/cur_lr,info/learner/0/learner_stats/total_loss,info/learner/0/learner_stats/policy_loss,info/learner/0/learner_stats/vf_loss,info/learner/0/learner_stats/vf_explained_var,info/learner/0/learner_stats/kl,info/learner/0/learner_stats/entropy,info/learner/0/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,1,0,0,3997,3997,4000,4000,4000,4000,4000,4000,3997,False,0,1,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-03-57,1682733837,16.35216450691223,16.35216450691223,286761,gold57.cluster.local,10.13.39.112,16.35216450691223,0,1,114.29723620414734,4000,4000,3997,3997,nan,nan,nan,nan,0,0,[],[],16350.107,753.641,5307.568,2.638,4000,4000,3997,3997,13.695833333333335,5.120833333333333,[],[],0.20000000298023224,0.0010000000474974513,1.3574,-0.013358337,1.370109,0.00079516025,0.0032463823,0.6900801,0.0
nan,nan,nan,nan,0,0,1,0,0,7997,7997,8000,8000,4000,4000,8000,4000,7997,False,0,2,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-04-23,1682733863,26.37791633605957,42.7300808429718,286761,gold57.cluster.local,10.13.39.112,42.7300808429718,0,2,114.29723620414734,8000,8000,7997,7997,nan,nan,nan,nan,0,0,[],[],21361.403,591.568,6761.695,2.782,8000,8000,7997,7997,13.72972972972973,5.1756756756756745,[],[],0.10000000149011612,0.0010000000474974513,1.0047001,-0.010740789,1.01492,0.0063285306,0.0052082115,0.6855091,0.0
nan,nan,nan,nan,0,0,1,0,0,11997,11997,12000,12000,4000,4000,12000,4000,11997,False,0,3,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-04-53,1682733893,29.867818117141724,72.59789896011353,286761,gold57.cluster.local,10.13.39.112,72.59789896011353,0,3,114.29723620414734,12000,12000,11997,11997,nan,nan,nan,nan,0,0,[],[],24195.316,542.961,7367.008,2.592,12000,12000,11997,11997,13.897674418604653,5.199999999999999,[],[],0.10000000149011612,0.0010000000474974513,0.3923811,-0.005067182,0.39726132,0.07938127,0.0018694144,0.6882046,0.0
nan,nan,nan,nan,0,0,1,0,0,15997,15997,16000,16000,4000,4000,16000,4000,15997,False,0,4,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-05-22,1682733922,28.701168060302734,101.29906702041626,286761,gold57.cluster.local,10.13.39.112,101.29906702041626,0,4,114.29723620414734,16000,16000,15997,15997,nan,nan,nan,nan,0,0,[],[],25320.445,517.195,7734.029,2.637,16000,16000,15997,15997,13.936585365853658,5.199999999999999,[],[],0.05000000074505806,0.0010000000474974513,0.05142594,-0.0025370822,0.053401448,0.0790153,0.011231625,0.6856996,0.0
554.9072915208553,554.9072915208553,554.9072915208553,20000.0,1,0,1,0,0,20000,20000,20000,20000,4000,4000,20000,4000,20000,False,1,5,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-06-01,1682733961,38.8001446723938,140.09921169281006,286761,gold57.cluster.local,10.13.39.112,140.09921169281006,0,5,114.29723620414734,20000,20000,20000,20000,554.9072915208553,554.9072915208553,554.9072915208553,20000.0,1,0,[554.9072915208553],[20000],28015.38,495.166,8078.096,2.758,20000,20000,20000,20000,13.858181818181817,5.199999999999999,[554.9072915208553],[20000],0.05000000074505806,0.0010000000474974513,3.0671735,-0.0026632778,3.0696251,0.121769845,0.0042321407,0.63017166,0.0
554.9072915208553,554.9072915208553,554.9072915208553,20000.0,0,0,1,0,0,23997,23997,24000,24000,4000,4000,24000,4000,23997,False,1,6,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-06-12,1682733972,11.334712982177734,151.4339246749878,286761,gold57.cluster.local,10.13.39.112,151.4339246749878,0,6,114.29723620414734,24000,24000,23997,23997,554.9072915208553,554.9072915208553,554.9072915208553,20000.0,0,0,[554.9072915208553],[20000],25234.392,480.7,8321.202,2.694,24000,24000,23997,23997,14.412500000000001,5.2,[554.9072915208553],[20000],0.02500000037252903,0.0010000000474974513,1.9567711,-0.0033577285,1.9598236,0.08234228,0.012216965,0.66161704,0.0
554.9072915208553,554.9072915208553,554.9072915208553,20000.0,0,0,1,0,0,27997,27997,28000,28000,4000,4000,28000,4000,27997,False,1,7,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-06-25,1682733985,12.609654903411865,164.04357957839966,286761,gold57.cluster.local,10.13.39.112,164.04357957839966,0,7,114.29723620414734,28000,28000,27997,27997,554.9072915208553,554.9072915208553,554.9072915208553,20000.0,0,0,[554.9072915208553],[20000],23430.271,468.443,8538.924,2.633,28000,28000,27997,27997,14.011111111111111,5.2,[554.9072915208553],[20000],0.02500000037252903,0.0010000000474974513,1.8107231,-0.0043559438,1.8149672,0.038076468,0.0044776844,0.6702388,0.0
554.9072915208553,554.9072915208553,554.9072915208553,20000.0,0,0,1,0,0,31997,31997,32000,32000,4000,4000,32000,4000,31997,False,1,8,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-06-41,1682734001,16.294756174087524,180.33833575248718,286761,gold57.cluster.local,10.13.39.112,180.33833575248718,0,8,114.29723620414734,32000,32000,31997,31997,554.9072915208553,554.9072915208553,554.9072915208553,20000.0,0,0,[554.9072915208553],[20000],22537.368,460.396,8688.169,2.587,32000,32000,31997,31997,14.217391304347828,5.200000000000001,[554.9072915208553],[20000],0.012500000186264515,0.0010000000474974513,1.5699006,-0.006428045,1.5761564,0.033571344,0.013770349,0.6550847,0.0
554.9072915208553,554.9072915208553,554.9072915208553,20000.0,0,0,1,0,0,35997,35997,36000,36000,4000,4000,36000,4000,35997,False,1,9,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-06-58,1682734018,17.30354928970337,197.64188504219055,286761,gold57.cluster.local,10.13.39.112,197.64188504219055,0,9,114.29723620414734,36000,36000,35997,35997,554.9072915208553,554.9072915208553,554.9072915208553,20000.0,0,0,[554.9072915208553],[20000],21955.282,454.144,8807.774,2.539,36000,36000,35997,35997,13.791999999999998,5.2,[554.9072915208553],[20000],0.012500000186264515,0.0010000000474974513,1.6419747,-0.004541851,1.646376,0.083599195,0.011247431,0.623812,0.0
1898.9001534430336,554.9072915208553,1226.9037224819444,20000.0,1,0,1,0,0,40000,40000,40000,40000,4000,4000,40000,4000,40000,False,2,10,aa226_00000,51065bf323bd444da2173f40fe8a0f4c,2023-04-29_03-07-17,1682734037,19.00812554359436,216.6500105857849,286761,gold57.cluster.local,10.13.39.112,216.6500105857849,0,10,114.29723620414734,40000,40000,40000,40000,1898.9001534430336,554.9072915208553,1226.9037224819444,20000.0,1,0,"[554.9072915208553, 1898.9001534430336]","[20000, 20000]",21660.081,449.57,8897.382,2.541,40000,40000,40000,40000,13.92962962962963,5.199999999999999,"[554.9072915208553, 1898.9001534430336]","[20000, 20000]",0.012500000186264515,0.0010000000474974513,1.9917977,-0.0007459399,1.9925159,0.09212504,0.0022158944,0.60515404,0.0
