episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/0/learner_stats/cur_kl_coeff,info/learner/0/learner_stats/cur_lr,info/learner/0/learner_stats/total_loss,info/learner/0/learner_stats/policy_loss,info/learner/0/learner_stats/vf_loss,info/learner/0/learner_stats/vf_explained_var,info/learner/0/learner_stats/kl,info/learner/0/learner_stats/entropy,info/learner/0/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,1,0,0,3991,3991,4000,4000,4000,4000,4000,4000,3991,False,0,1,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-05-41,1682733941,16.100163221359253,16.100163221359253,290241,gold57.cluster.local,10.13.39.112,16.100163221359253,0,1,107.48522067070007,4000,4000,3991,3991,nan,nan,nan,nan,0,0,[],[],16097.975,745.279,5367.12,2.641,4000,4000,3991,3991,14.04782608695652,5.200000000000001,[],[],0.20000000298023224,0.0010000000474974513,0.9689503,-0.011320726,0.9797519,0.0018423408,0.0025960454,0.69073236,0.0
nan,nan,nan,nan,0,0,1,0,0,7991,7991,8000,8000,4000,4000,8000,4000,7991,False,0,2,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-05-59,1682733959,18.30544924736023,34.40561246871948,290241,gold57.cluster.local,10.13.39.112,34.40561246871948,0,2,107.48522067070007,8000,8000,7991,7991,nan,nan,nan,nan,0,0,[],[],17198.624,591.846,6758.519,2.647,8000,8000,7991,7991,13.819230769230767,5.199999999999999,[],[],0.10000000149011612,0.0010000000474974513,1.191328,-0.01320747,1.203546,0.0055194823,0.009894866,0.67793095,0.0
nan,nan,nan,nan,0,0,1,0,0,11991,11991,12000,12000,4000,4000,12000,4000,11991,False,0,3,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-06-25,1682733985,25.9711275100708,60.37673997879028,290241,gold57.cluster.local,10.13.39.112,60.37673997879028,0,3,107.48522067070007,12000,12000,11991,11991,nan,nan,nan,nan,0,0,[],[],20121.128,548.025,7298.931,2.547,12000,12000,11991,11991,14.116216216216214,5.199999999999998,[],[],0.10000000149011612,0.0010000000474974513,1.1651988,-0.011051981,1.1751088,0.019594615,0.011419901,0.67184,0.0
nan,nan,nan,nan,0,0,1,0,0,15991,15991,16000,16000,4000,4000,16000,4000,15991,False,0,4,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-07-01,1682734021,35.741708755493164,96.11844873428345,290241,gold57.cluster.local,10.13.39.112,96.11844873428345,0,4,107.48522067070007,16000,16000,15991,15991,nan,nan,nan,nan,0,0,[],[],24025.232,529.476,7554.635,2.49,16000,16000,15991,15991,13.98235294117647,5.2,[],[],0.10000000149011612,0.0010000000474974513,2.0916495,-0.002058149,2.0933347,0.07813735,0.0037302084,0.6567361,0.0
nan,nan,nan,nan,0,0,1,0,0,19991,19991,20000,20000,4000,4000,20000,4000,19991,False,0,5,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-07-50,1682734070,48.7702271938324,144.88867592811584,290241,gold57.cluster.local,10.13.39.112,144.88867592811584,0,5,107.48522067070007,20000,20000,19991,19991,nan,nan,nan,nan,0,0,[],[],28973.095,516.721,7741.119,2.427,20000,20000,19991,19991,13.91159420289855,5.199999999999999,[],[],0.05000000074505806,0.0010000000474974513,1.4540024,-0.0055950386,1.4590044,0.092930265,0.011860842,0.651578,0.0
nan,nan,nan,nan,0,0,1,0,0,23991,23991,24000,24000,4000,4000,24000,4000,23991,False,0,6,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-08-51,1682734131,61.547991037368774,206.43666696548462,290241,gold57.cluster.local,10.13.39.112,206.43666696548462,0,6,107.48522067070007,24000,24000,23991,23991,nan,nan,nan,nan,0,0,[],[],34401.503,509.901,7844.656,2.451,24000,24000,23991,23991,13.602272727272725,5.200000000000001,[],[],0.05000000074505806,0.0010000000474974513,1.2728176,-0.0022421032,1.27465,0.09338752,0.008193128,0.6213547,0.0
nan,nan,nan,nan,0,0,1,0,0,27991,27991,28000,28000,4000,4000,28000,4000,27991,False,0,7,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-10-02,1682734202,70.83565902709961,277.27232599258423,290241,gold57.cluster.local,10.13.39.112,277.27232599258423,0,7,107.48522067070007,28000,28000,27991,27991,nan,nan,nan,nan,0,0,[],[],39605.685,496.544,8055.683,2.434,28000,28000,27991,27991,12.925742574257423,5.226732673267329,[],[],0.05000000074505806,0.0010000000474974513,1.5764946,-0.00062459253,1.5769188,0.11797656,0.004005374,0.6006074,0.0
nan,nan,nan,nan,0,0,1,0,0,31991,31991,32000,32000,4000,4000,32000,4000,31991,False,0,8,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-11-26,1682734286,83.8476951122284,361.1200211048126,290241,gold57.cluster.local,10.13.39.112,361.1200211048126,0,8,107.48522067070007,32000,32000,31991,31991,nan,nan,nan,nan,0,0,[],[],45135.23,485.773,8234.302,2.442,32000,32000,31991,31991,11.330252100840335,5.215966386554626,[],[],0.02500000037252903,0.0010000000474974513,1.3859999,-0.001049518,1.3869078,0.13513963,0.0056676213,0.5947955,0.0
nan,nan,nan,nan,0,0,1,0,0,35991,35991,36000,36000,4000,4000,36000,4000,35991,False,0,9,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-13-06,1682734386,100.37160181999207,461.4916229248047,290241,gold57.cluster.local,10.13.39.112,461.4916229248047,0,9,107.48522067070007,36000,36000,35991,35991,nan,nan,nan,nan,0,0,[],[],51272.046,477.574,8375.669,2.396,36000,36000,35991,35991,14.310563380281687,5.274647887323944,[],[],0.02500000037252903,0.0010000000474974513,1.0741823,-0.00028289872,1.0743611,0.12616336,0.004159546,0.6500385,0.0
nan,nan,nan,nan,0,0,1,0,0,39991,39991,40000,40000,4000,4000,40000,4000,39991,False,0,10,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-15-11,1682734511,124.5046775341034,585.9963004589081,290241,gold57.cluster.local,10.13.39.112,585.9963004589081,0,10,107.48522067070007,40000,40000,39991,39991,nan,nan,nan,nan,0,0,[],[],58594.791,469.303,8523.277,2.404,40000,40000,39991,39991,15.177966101694915,5.3,[],[],0.012500000186264515,0.0010000000474974513,0.432728,-0.0016056463,0.43423826,0.08768586,0.007632482,0.68323135,0.0
