episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,1,0,0,999,0,1000,0,1000,0,1000,0,999,False,0,1,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-36-43,1682717803,9.189303159713745,9.189303159713745,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,9.189303159713745,0,1,11.81150484085083,1000,0,999,0,nan,nan,nan,nan,0,0,[],[],444.538,1000,0,999,0,28.65,94.99285714285715,[],[]
nan,nan,nan,nan,0,0,1,0,0,1999,640,2000,640,1000,640,2000,640,1999,False,0,2,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-37-01,1682717821,18.445746898651123,27.635050058364868,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,27.635050058364868,0,2,11.81150484085083,2000,640,1999,640,nan,nan,nan,nan,0,0,[],[],958.197,2000,640,1999,640,24.080769230769235,95.02307692307694,[],[]
nan,nan,nan,nan,0,0,1,0,0,2999,1280,3000,1280,1000,640,3000,640,2999,False,0,3,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-37-22,1682717842,21.370589017868042,49.00563907623291,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,49.00563907623291,0,3,11.81150484085083,3000,1280,2999,1280,nan,nan,nan,nan,0,0,[],[],1142.527,3000,1280,2999,1280,22.086666666666662,95.03,[],[]
nan,nan,nan,nan,0,0,1,0,0,3999,1920,4000,1920,1000,640,4000,640,3999,False,0,4,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-37-47,1682717867,24.218474864959717,73.22411394119263,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,73.22411394119263,0,4,11.81150484085083,4000,1920,3999,1920,nan,nan,nan,nan,0,0,[],[],1191.203,4000,1920,3999,1920,21.517142857142854,95.04857142857142,[],[]
nan,nan,nan,nan,0,0,1,0,0,4999,2560,5000,2560,1000,640,5000,640,4999,False,0,5,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-38-11,1682717891,24.24704885482788,97.47116279602051,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,97.47116279602051,0,5,11.81150484085083,5000,2560,4999,2560,nan,nan,nan,nan,0,0,[],[],1216.531,5000,2560,4999,2560,21.582352941176474,95.06176470588235,[],[]
nan,nan,nan,nan,0,0,1,0,0,5999,3200,6000,3200,1000,640,6000,640,5999,False,0,6,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-38-36,1682717916,24.477580070495605,121.94874286651611,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,121.94874286651611,0,6,11.81150484085083,6000,3200,5999,3200,nan,nan,nan,nan,0,0,[],[],1258.655,6000,3200,5999,3200,21.537142857142857,95.08857142857141,[],[]
nan,nan,nan,nan,0,0,1,0,0,6999,3840,7000,3840,1000,640,7000,640,6999,False,0,7,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-38-53,1682717933,17.475044012069702,139.42378687858582,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,139.42378687858582,0,7,11.81150484085083,7000,3840,6999,3840,nan,nan,nan,nan,0,0,[],[],832.88,7000,3840,6999,3840,22.324,95.036,[],[]
nan,nan,nan,nan,0,0,1,0,0,7999,4480,8000,4480,1000,640,8000,640,7999,False,0,8,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-04,1682717944,11.434774160385132,150.85856103897095,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,150.85856103897095,0,8,11.81150484085083,8000,4480,7999,4480,nan,nan,nan,nan,0,0,[],[],539.403,8000,4480,7999,4480,23.88125,95.05625,[],[]
nan,nan,nan,nan,0,0,1,0,0,8999,5120,9000,5120,1000,640,9000,640,8999,False,0,9,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-14,1682717954,9.123770236968994,159.98233127593994,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,159.98233127593994,0,9,11.81150484085083,9000,5120,8999,5120,nan,nan,nan,nan,0,0,[],[],419.105,9000,5120,8999,5120,25.62307692307692,95.04615384615384,[],[]
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,1,0,1,0,0,10000,5760,10000,5760,1000,640,10000,640,10000,False,1,10,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-23,1682717963,9.200325965881348,169.1826572418213,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,169.1826572418213,0,10,11.81150484085083,10000,5760,10000,5760,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,1,0,[1352.6188721484543],[10000],545.528,10000,5760,10000,5760,24.730769230769226,95.08461538461538,[1352.6188721484543],[10000]
