episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,1,0,0,997,0,1000,0,1000,0,1000,0,997,False,0,1,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-08,1682733548,3.4755566120147705,3.4755566120147705,37547,gold53.cluster.local,10.13.39.108,3.4755566120147705,0,1,111.90236783027649,1000,0,997,0,nan,nan,nan,nan,0,0,[],[],174.931,1000,0,997,0,41.260000000000005,10.34,[],[]
nan,nan,nan,nan,0,0,1,0,0,1997,640,2000,640,1000,640,2000,640,1997,False,0,2,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-13,1682733553,4.69966459274292,8.17522120475769,37547,gold53.cluster.local,10.13.39.108,8.17522120475769,0,2,111.90236783027649,2000,640,1997,640,nan,nan,nan,nan,0,0,[],[],197.963,2000,640,1997,640,42.81428571428571,10.528571428571428,[],[]
nan,nan,nan,nan,0,0,1,0,0,2997,1280,3000,1280,1000,640,3000,640,2997,False,0,3,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-18,1682733558,4.620320081710815,12.795541286468506,37547,gold53.cluster.local,10.13.39.108,12.795541286468506,0,3,111.90236783027649,3000,1280,2997,1280,nan,nan,nan,nan,0,0,[],[],245.098,3000,1280,2997,1280,40.82857142857143,10.414285714285715,[],[]
nan,nan,nan,nan,0,0,1,0,0,3997,1920,4000,1920,1000,640,4000,640,3997,False,0,4,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-23,1682733563,5.0566229820251465,17.852164268493652,37547,gold53.cluster.local,10.13.39.108,17.852164268493652,0,4,111.90236783027649,4000,1920,3997,1920,nan,nan,nan,nan,0,0,[],[],264.668,4000,1920,3997,1920,40.699999999999996,10.200000000000001,[],[]
nan,nan,nan,nan,0,0,1,0,0,4997,2560,5000,2560,1000,640,5000,640,4997,False,0,5,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-28,1682733568,5.027129173278809,22.87929344177246,37547,gold53.cluster.local,10.13.39.108,22.87929344177246,0,5,111.90236783027649,5000,2560,4997,2560,nan,nan,nan,nan,0,0,[],[],246.211,5000,2560,4997,2560,39.714285714285715,10.299999999999999,[],[]
nan,nan,nan,nan,0,0,1,0,0,5997,3200,6000,3200,1000,640,6000,640,5997,False,0,6,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-33,1682733573,4.960561990737915,27.839855432510376,37547,gold53.cluster.local,10.13.39.108,27.839855432510376,0,6,111.90236783027649,6000,3200,5997,3200,nan,nan,nan,nan,0,0,[],[],244.157,6000,3200,5997,3200,38.41428571428572,10.514285714285714,[],[]
nan,nan,nan,nan,0,0,1,0,0,6997,3840,7000,3840,1000,640,7000,640,6997,False,0,7,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-38,1682733578,4.935965061187744,32.77582049369812,37547,gold53.cluster.local,10.13.39.108,32.77582049369812,0,7,111.90236783027649,7000,3840,6997,3840,nan,nan,nan,nan,0,0,[],[],256.411,7000,3840,6997,3840,34.18571428571429,10.485714285714286,[],[]
nan,nan,nan,nan,0,0,1,0,0,7997,4480,8000,4480,1000,640,8000,640,7997,False,0,8,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-43,1682733583,4.682265043258667,37.45808553695679,37547,gold53.cluster.local,10.13.39.108,37.45808553695679,0,8,111.90236783027649,8000,4480,7997,4480,nan,nan,nan,nan,0,0,[],[],214.036,8000,4480,7997,4480,38.471428571428575,10.200000000000001,[],[]
nan,nan,nan,nan,0,0,1,0,0,8997,5120,9000,5120,1000,640,9000,640,8997,False,0,9,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-47,1682733587,4.330499887466431,41.78858542442322,37547,gold53.cluster.local,10.13.39.108,41.78858542442322,0,9,111.90236783027649,9000,5120,8997,5120,nan,nan,nan,nan,0,0,[],[],212.817,9000,5120,8997,5120,34.46666666666666,10.316666666666666,[],[]
nan,nan,nan,nan,0,0,1,0,0,9997,5760,10000,5760,1000,640,10000,640,9997,False,0,10,db29d_00000,a677ea7d121941ed88786a91c3c575b3,2023-04-29_02-59-51,1682733591,3.875157117843628,45.663742542266846,37547,gold53.cluster.local,10.13.39.108,45.663742542266846,0,10,111.90236783027649,10000,5760,9997,5760,nan,nan,nan,nan,0,0,[],[],179.103,10000,5760,9997,5760,34.88333333333333,10.5,[],[]
