episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,1,0,0,997,0,1000,0,1000,0,1000,0,997,False,0,1,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-01-33,1682733693,3.8935866355895996,3.8935866355895996,47986,gold56.cluster.local,10.13.39.111,3.8935866355895996,0,1,77.94419169425964,1000,0,997,0,nan,nan,nan,nan,0,0,[],[],163.875,1000,0,997,0,78.5,20.7,[],[]
nan,nan,nan,nan,0,0,1,0,0,1997,640,2000,640,1000,640,2000,640,1997,False,0,2,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-01-39,1682733699,5.05989408493042,8.95348072052002,47986,gold56.cluster.local,10.13.39.111,8.95348072052002,0,2,77.94419169425964,2000,640,1997,640,nan,nan,nan,nan,0,0,[],[],239.681,2000,640,1997,640,79.82857142857142,20.757142857142856,[],[]
nan,nan,nan,nan,0,0,1,0,0,2997,1280,3000,1280,1000,640,3000,640,2997,False,0,3,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-01-44,1682733704,5.20791220664978,14.1613929271698,47986,gold56.cluster.local,10.13.39.111,14.1613929271698,0,3,77.94419169425964,3000,1280,2997,1280,nan,nan,nan,nan,0,0,[],[],267.131,3000,1280,2997,1280,79.4375,20.8,[],[]
nan,nan,nan,nan,0,0,1,0,0,3997,1920,4000,1920,1000,640,4000,640,3997,False,0,4,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-01-49,1682733709,5.128935813903809,19.29032874107361,47986,gold56.cluster.local,10.13.39.111,19.29032874107361,0,4,77.94419169425964,4000,1920,3997,1920,nan,nan,nan,nan,0,0,[],[],263.114,4000,1920,3997,1920,79.92857142857143,20.871428571428574,[],[]
nan,nan,nan,nan,0,0,1,0,0,4997,2560,5000,2560,1000,640,5000,640,4997,False,0,5,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-01-55,1682733715,5.867150783538818,25.157479524612427,47986,gold56.cluster.local,10.13.39.111,25.157479524612427,0,5,77.94419169425964,5000,2560,4997,2560,nan,nan,nan,nan,0,0,[],[],252.242,5000,2560,4997,2560,78.1875,20.924999999999997,[],[]
nan,nan,nan,nan,0,0,1,0,0,5997,3200,6000,3200,1000,640,6000,640,5997,False,0,6,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-00,1682733720,5.0160722732543945,30.17355179786682,47986,gold56.cluster.local,10.13.39.111,30.17355179786682,0,6,77.94419169425964,6000,3200,5997,3200,nan,nan,nan,nan,0,0,[],[],249.727,6000,3200,5997,3200,78.57499999999999,21.0,[],[]
nan,nan,nan,nan,0,0,1,0,0,6997,3840,7000,3840,1000,640,7000,640,6997,False,0,7,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-05,1682733725,4.7883384227752686,34.96189022064209,47986,gold56.cluster.local,10.13.39.111,34.96189022064209,0,7,77.94419169425964,7000,3840,6997,3840,nan,nan,nan,nan,0,0,[],[],227.354,7000,3840,6997,3840,79.3142857142857,21.0,[],[]
nan,nan,nan,nan,0,0,1,0,0,7997,4480,8000,4480,1000,640,8000,640,7997,False,0,8,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-10,1682733730,5.017546653747559,39.97943687438965,47986,gold56.cluster.local,10.13.39.111,39.97943687438965,0,8,77.94419169425964,8000,4480,7997,4480,nan,nan,nan,nan,0,0,[],[],252.26,8000,4480,7997,4480,78.42857142857143,21.057142857142853,[],[]
nan,nan,nan,nan,0,0,1,0,0,8997,5120,9000,5120,1000,640,9000,640,8997,False,0,9,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-14,1682733734,4.183900356292725,44.16333723068237,47986,gold56.cluster.local,10.13.39.111,44.16333723068237,0,9,77.94419169425964,9000,5120,8997,5120,nan,nan,nan,nan,0,0,[],[],201.703,9000,5120,8997,5120,77.61666666666667,21.099999999999998,[],[]
nan,nan,nan,nan,0,0,1,0,0,9997,5760,10000,5760,1000,640,10000,640,9997,False,0,10,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-18,1682733738,4.0530078411102295,48.2163450717926,47986,gold56.cluster.local,10.13.39.111,48.2163450717926,0,10,77.94419169425964,10000,5760,9997,5760,nan,nan,nan,nan,0,0,[],[],202.293,10000,5760,9997,5760,77.16666666666667,21.116666666666667,[],[]
