episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,1,0,0,991,0,1000,0,1000,0,1000,0,991,False,0,1,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-03-51,1682733831,5.175423860549927,5.175423860549927,286760,gold57.cluster.local,10.13.39.112,5.175423860549927,0,1,120.14617705345154,1000,0,991,0,nan,nan,nan,nan,0,0,[],[],146.728,1000,0,991,0,13.649999999999999,5.1,[],[]
nan,nan,nan,nan,0,0,1,0,0,1991,640,2000,640,1000,640,2000,640,1991,False,0,2,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-03-56,1682733836,4.145689010620117,9.321112871170044,286760,gold57.cluster.local,10.13.39.112,9.321112871170044,0,2,120.14617705345154,2000,640,1991,640,nan,nan,nan,nan,0,0,[],[],194.514,2000,640,1991,640,13.866666666666667,5.133333333333333,[],[]
nan,nan,nan,nan,0,0,1,0,0,2991,1280,3000,1280,1000,640,3000,640,2991,False,0,3,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-04-00,1682733840,4.2662293910980225,13.587342262268066,286760,gold57.cluster.local,10.13.39.112,13.587342262268066,0,3,120.14617705345154,3000,1280,2991,1280,nan,nan,nan,nan,0,0,[],[],214.132,3000,1280,2991,1280,14.15,5.2,[],[]
nan,nan,nan,nan,0,0,1,0,0,3991,1920,4000,1920,1000,640,4000,640,3991,False,0,4,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-04-04,1682733844,4.494969606399536,18.082311868667603,286760,gold57.cluster.local,10.13.39.112,18.082311868667603,0,4,120.14617705345154,4000,1920,3991,1920,nan,nan,nan,nan,0,0,[],[],230.058,4000,1920,3991,1920,13.816666666666668,5.2,[],[]
nan,nan,nan,nan,0,0,1,0,0,4991,2560,5000,2560,1000,640,5000,640,4991,False,0,5,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-04-09,1682733849,4.8529276847839355,22.935239553451538,286760,gold57.cluster.local,10.13.39.112,22.935239553451538,0,5,120.14617705345154,5000,2560,4991,2560,nan,nan,nan,nan,0,0,[],[],238.565,5000,2560,4991,2560,13.714285714285712,5.2,[],[]
nan,nan,nan,nan,0,0,1,0,0,5991,3200,6000,3200,1000,640,6000,640,5991,False,0,6,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-04-14,1682733854,4.936396837234497,27.871636390686035,286760,gold57.cluster.local,10.13.39.112,27.871636390686035,0,6,120.14617705345154,6000,3200,5991,3200,nan,nan,nan,nan,0,0,[],[],250.496,6000,3200,5991,3200,13.542857142857143,5.185714285714285,[],[]
nan,nan,nan,nan,0,0,1,0,0,6991,3840,7000,3840,1000,640,7000,640,6991,False,0,7,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-04-19,1682733859,4.9617486000061035,32.83338499069214,286760,gold57.cluster.local,10.13.39.112,32.83338499069214,0,7,120.14617705345154,7000,3840,6991,3840,nan,nan,nan,nan,0,0,[],[],242.671,7000,3840,6991,3840,13.674999999999999,5.1,[],[]
nan,nan,nan,nan,0,0,1,0,0,7991,4480,8000,4480,1000,640,8000,640,7991,False,0,8,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-04-24,1682733864,4.656201124191284,37.48958611488342,286760,gold57.cluster.local,10.13.39.112,37.48958611488342,0,8,120.14617705345154,8000,4480,7991,4480,nan,nan,nan,nan,0,0,[],[],230.055,8000,4480,7991,4480,14.133333333333333,5.183333333333333,[],[]
nan,nan,nan,nan,0,0,1,0,0,8991,5120,9000,5120,1000,640,9000,640,8991,False,0,9,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-04-29,1682733869,4.584518194198608,42.07410430908203,286760,gold57.cluster.local,10.13.39.112,42.07410430908203,0,9,120.14617705345154,9000,5120,8991,5120,nan,nan,nan,nan,0,0,[],[],230.839,9000,5120,8991,5120,13.814285714285715,5.2,[],[]
nan,nan,nan,nan,0,0,1,0,0,9991,5760,10000,5760,1000,640,10000,640,9991,False,0,10,aa226_00000,c61f67e8bd6944fdbeb43ff58e709e2e,2023-04-29_03-04-33,1682733873,4.677009344100952,46.75111365318298,286760,gold57.cluster.local,10.13.39.112,46.75111365318298,0,10,120.14617705345154,10000,5760,9991,5760,nan,nan,nan,nan,0,0,[],[],237.045,10000,5760,9991,5760,13.466666666666669,5.2,[],[]
